"time (JD)" Vmag Verr
2458655.869236111 15.26 0.027000000000000003
2458655.870787037 15.247 0.026000000000000002
2458655.872349537 15.279000000000002 0.027999999999999997
2458655.873900463 15.277000000000001 0.027999999999999997
2458655.875451389 15.272 0.027000000000000003
2458655.8770023147 15.287 0.026000000000000002
2458655.8785648146 15.3 0.031
2458655.8801157405 15.357000000000001 0.033
2458655.881666667 15.289000000000001 0.032
2458655.8832175927 15.349 0.037000000000000005
2458655.8847800926 15.242 0.038
2458655.8863194445 15.322000000000001 0.04
2458656.4172099996 15.588 0.021
2458656.4179700003 15.536 0.018000000000000002
2458656.41877 15.569 0.017
2458656.41954 15.578 0.018000000000000002
2458656.4202900003 15.603 0.017
2458656.42105 15.577 0.017
2458656.42185 15.58 0.016
2458656.4226 15.581 0.02
2458656.42337 15.671 0.017
2458656.42412 15.657 0.018000000000000002
2458656.42491 15.61 0.016
2458656.4256599997 15.659 0.015
2458656.42642 15.65 0.016
2458656.42718 15.66 0.016
2458656.42799 15.612 0.016
2458656.4287400004 15.637 0.015
2458656.4295 15.616 0.019
2458656.43027 15.610999999999999 0.016
2458656.43106 15.612 0.015
2458656.43182 15.624 0.015
2458656.43258 15.654000000000002 0.013999999999999999
2458656.43333 15.618 0.015
2458656.43413 15.642000000000001 0.013999999999999999
2458656.4349 15.649000000000001 0.013999999999999999
2458656.43565 15.610999999999999 0.013999999999999999
2458656.4364 15.636 0.016
2458656.4372 15.616 0.012
2458656.43796 15.607999999999999 0.015
2458656.43872 15.636 0.013999999999999999
2458656.4394799997 15.635 0.013000000000000001
2458656.4402799997 15.654000000000002 0.015
2458656.44103 15.634 0.013000000000000001
2458656.44179 15.619000000000002 0.013000000000000001
2458656.44255 15.655 0.013999999999999999
2458656.44333 15.62 0.017
2458656.4441 15.639000000000001 0.013000000000000001
2458656.44485 15.67 0.013999999999999999
2458656.44561 15.67 0.016
2458656.44641 15.682 0.013000000000000001
2458656.44716 15.657 0.013999999999999999
2458656.44793 15.696 0.015
2458656.44869 15.681 0.013999999999999999
2458656.45052 15.655 0.013000000000000001
2458656.45128 15.645 0.012
2458656.4520400004 15.635 0.013000000000000001
2458656.4528 15.619000000000002 0.012
2458656.45498 15.616 0.012
2458656.45573 15.632 0.013000000000000001
2458656.45653 15.649000000000001 0.012
2458656.45738 15.610999999999999 0.013000000000000001
2458656.4581400002 15.624 0.012
2458656.4588900004 15.609000000000002 0.012
2458656.45964 15.624 0.011000000000000001
2458656.46044 15.595999999999998 0.011000000000000001
2458656.4612 15.628 0.013000000000000001
2458656.46196 15.642999999999999 0.012
2458656.46272 15.625 0.012
2458656.46352 15.637 0.012
2458656.46427 15.64 0.012
2458656.46503 15.645999999999999 0.012
2458656.4657900003 15.648 0.013000000000000001
2458656.4665900003 15.633 0.012
2458656.46735 15.620999999999999 0.013999999999999999
2458656.46811 15.634 0.013000000000000001
2458656.46887 15.644 0.012
2458656.46969 15.642000000000001 0.011000000000000001
2458656.4704400003 15.615 0.012
2458656.4712 15.626 0.013000000000000001
2458656.4719700003 15.629000000000001 0.012
2458656.47277 15.605 0.013999999999999999
2458656.47352 15.628 0.012
2458656.4742799997 15.597000000000001 0.011000000000000001
2458656.47503 15.624 0.012
2458656.4758599997 15.612 0.011000000000000001
2458656.47661 15.620999999999999 0.013000000000000001
2458656.47737 15.575999999999999 0.012
2458656.4781299997 15.597000000000001 0.013999999999999999
2458656.4789400003 15.625 0.012
2458656.4797 15.582 0.013000000000000001
2458656.48045 15.605 0.012
2458656.48122 15.59 0.012
2458656.482 15.584000000000001 0.012
2458656.48277 15.607999999999999 0.011000000000000001
2458656.48353 15.622 0.012
2458656.48428 15.628 0.011000000000000001
2458656.48509 15.634 0.012
2458656.4859 15.629000000000001 0.012
2458656.48666 15.624 0.012
2458656.48742 15.61 0.011000000000000001
2458656.48823 15.602 0.012
2458656.48898 15.597000000000001 0.013000000000000001
2458656.48975 15.609000000000002 0.012
2458656.4905 15.589 0.012
2458656.4913 15.582 0.011000000000000001
2458656.49206 15.609000000000002 0.013000000000000001
2458656.4928200003 15.604000000000001 0.012
2458656.49358 15.595 0.015
2458656.49438 15.605 0.012
2458656.4951400002 15.591 0.013000000000000001
2458656.4959 15.597999999999999 0.013000000000000001
2458656.4966599997 15.61 0.016
2458656.4974700003 15.567 0.017
2458656.49822 15.587 0.016
2458656.49897 15.592 0.018000000000000002
2458656.49975 15.59 0.017
2458656.5005900003 15.575999999999999 0.013999999999999999
2458656.50135 15.603 0.012
2458656.50211 15.629000000000001 0.012
2458656.50287 15.636 0.012
2458656.50367 15.628 0.012
